k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
75,6.25,B,0.0033274622708780823,3.696664460513901e-05,0.003318932699788155,8.426464014627135e-06,8.52957108992726e-06,0.0852957108992726,0.2307369570875659
76,6.333333333333333,B,0.0032624291808152593,3.6544785809134784e-05,0.0033193426224427396,8.412228862813327e-06,-5.691344162748026e-05,-0.5691344162748027,-1.5573614776325793
77,6.416666666666666,B,0.003346208721582745,3.63151967112761e-05,0.003324182107665329,8.430061646884716e-06,2.2026613917416112e-05,0.22026613917416113,0.6065398486627696
78,6.5,B,0.003352419310080923,3.55464118486381e-05,0.003323479944883351,8.455320505387078e-06,2.8939365197571797e-05,0.289393651975718,0.8141290130998288
79,6.583333333333333,B,0.0033069772547727368,3.567683868516343e-05,0.00332230851517122,8.482985361808083e-06,-1.5331260398483097e-05,-0.15331260398483096,-0.42972586595400214
80,6.666666666666666,B,0.003366059476178333,3.4745438595813395e-05,0.0033242472727870475,8.491666300447224e-06,4.18122033912856e-05,0.41812203391285596,1.2033868352527777
81,6.75,B,0.0033455465720267823,3.47227701350978e-05,0.003322075734363404,8.496801304067925e-06,2.347083766337816e-05,0.23470837663378158,0.6759494582966414
82,6.833333333333333,B,0.003328819750518792,3.38893247239141e-05,0.0033212484616130964,8.4553710615501e-06,7.571288905695427e-06,0.07571288905695428,0.22341220922447963
83,6.916666666666666,B,0.003324414453911352,3.380631335397013e-05,0.0033216325952657565,8.461563000015617e-06,2.7818586455954745e-06,0.027818586455954745,0.08228813998343833
84,7.0,B,0.003369579547134589,3.300524990729531e-05,0.003322325555854223,8.42780790316335e-06,4.725399128036609e-05,0.4725399128036609,1.4317113614680224
85,7.083333333333333,B,0.0033126203678963237,3.270824182725679e-05,0.0033196664791569647,8.42499070194276e-06,-7.046111260641027e-06,-0.07046111260641028,-0.21542311255535856
86,7.166666666666666,B,0.0032720396041853563,3.228828960816998e-05,0.0033212238659449424,8.44269319506555e-06,-4.918426175958609e-05,-0.4918426175958609,-1.5232848303968658
87,7.25,B,0.0033112744039528663,3.17622772243017e-05,0.0033259827918923745,8.433614497296121e-06,-1.4708387939508204e-05,-0.14708387939508205,-0.46307724838616543
88,7.333333333333333,B,0.003305493151731404,3.05642726308979e-05,0.003327888649576243,8.410847876977056e-06,-2.2395497844838845e-05,-0.22395497844838846,-0.7327345268540396
