k,t_k,bond,E_dV_over_V,MC_SE_dV_over_V,E_r_dt,MC_SE_r_dt,residual,residual_bp_per_month,z_stat
80,6.666666666666666,A,0.0033301404162516357,8.519928995453597e-06,0.0033242472727870475,8.491666300447224e-06,5.89314346458817e-06,0.0589314346458817,0.6916892696796967
81,6.75,A,0.0033279620870822614,8.525091898653859e-06,0.003322075734363404,8.496801304067925e-06,5.8863527188572455e-06,0.058863527188572455,0.6904738141047747
82,6.833333333333333,A,0.0033271285380172743,8.483497877162844e-06,0.0033212484616130964,8.4553710615501e-06,5.8800764041778975e-06,0.058800764041778975,0.6931193346563771
83,6.916666666666666,A,0.0033275144738050826,8.489662905781296e-06,0.0033216325952657565,8.461563000015617e-06,5.881878539326039e-06,0.05881878539326039,0.6928282788849712
84,7.0,A,0.0033282068791313747,8.455743163895555e-06,0.003322325555854223,8.42780790316335e-06,5.881323277151691e-06,0.05881323277151691,0.695541853998575
85,7.083333333333333,A,0.0033255387168716205,8.452858560471606e-06,0.0033196664791569647,8.42499070194276e-06,5.8722377146557675e-06,0.058722377146557675,0.6947043621570004
86,7.166666666666666,A,0.003327102783127288,8.470679038837307e-06,0.0033212238659449424,8.44269319506555e-06,5.878917182345657e-06,0.05878917182345657,0.6940313941056374
87,7.25,A,0.003331876787663214,8.461693575605501e-06,0.0033259827918923745,8.433614497296121e-06,5.893995770839353e-06,0.05893995770839353,0.6965503676275102
88,7.333333333333333,A,0.0033337870749357906,8.43891487699145e-06,0.003327888649576243,8.410847876977056e-06,5.898425359547772e-06,0.05898425359547772,0.6989554279815907
89,7.416666666666666,A,0.0033362677962011575,8.42833269324059e-06,0.0033303620128797623,8.40028692063663e-06,5.905783321395221e-06,0.05905783321395221,0.7007060039444789
90,7.5,A,0.003334447618929935,8.418743054958375e-06,0.003328548686447055,8.390762042679643e-06,5.898932482879815e-06,0.05898932482879815,0.7006904052506424
91,7.583333333333333,A,0.003333123138192743,8.439951610168417e-06,0.003327226830030488,8.411909542866846e-06,5.8963081622552885e-06,0.058963081622552885,0.6986187166229061
92,7.666666666666666,A,0.003332061164460143,8.41990852323133e-06,0.003326170062883784,8.391911193855813e-06,5.891101576358925e-06,0.05891101576358925,0.6996633704635643
93,7.75,A,0.003335703412845028,8.424550360956344e-06,0.0033297998250452305,8.396471212586878e-06,5.903587799797362e-06,0.05903587799797362,0.7007599868068443
94,7.833333333333333,A,0.0033345637148178967,8.468144929075366e-06,0.0033286602564377315,8.439945741470712e-06,5.903458380165233e-06,0.05903458380165233,0.6971371451019591
95,7.916666666666666,A,0.003333827993356242,8.498187568390716e-06,0.003327924446447244,8.469921334384822e-06,5.903546908997935e-06,0.05903546908997935,0.6946830558266764
96,8.0,A,0.0033273122785641646,8.503275459382543e-06,0.003321429924800538,8.475075772076621e-06,5.882353763626488e-06,0.05882353763626488,0.6917750450076129
97,8.083333333333332,A,0.0033295348295035864,8.463684978044598e-06,0.003323648437750477,8.435643988093239e-06,5.886391753109205e-06,0.05886391753109205,0.6954880490447038
98,8.166666666666666,A,0.0033328238454684877,8.459519268028668e-06,0.0033269268903693906,8.431390915799102e-06,5.896955099097059e-06,0.05896955099097059,0.6970792207287252
99,8.25,A,0.0033337912003337123,8.434531814342438e-06,0.0033278931264352574,8.406517342394971e-06,5.8980738984549044e-06,0.058980738984549044,0.6992769756853093
