t,mean_em,mean_exact,mean_analytic,var_em,var_exact,var_analytic,mean_err_em_bp,mean_err_exact_bp
2.083333333333333,0.03907407167386644,0.03917959077818419,0.03901197497191522,0.00022161939081519633,0.00022507475016151566,0.00021594017360737676,0.6209670195121697,1.6761580626897117
2.1666666666666665,0.0390775055680527,0.03924245878507537,0.03905229680970112,0.00022582152195523984,0.00022689519789667302,0.00021864812407074424,0.25208758351581706,1.9016197537424784
2.25,0.03911780900796974,0.03931205691548297,0.03909097309139662,0.00022852385688199346,0.00022892637298616188,0.00022115976229033672,0.26835916573118845,2.2108382408635165
2.333333333333333,0.03924829999396042,0.03934786898403231,0.03912807097303913,0.00023242453781543388,0.00023219381884842454,0.0002234899600098734,1.2022902092129195,2.197980109931788
2.4166666666666665,0.03927917772502348,0.039387393346405404,0.0391636548699917,0.00023691503948607088,0.00023649559570510412,0.00022565243354307109,1.155228550317744,2.237384764137013
2.5,0.039269446859383716,0.03934768255227992,0.03919778656879147,0.00023780511731684906,0.00023547738301931887,0.00022765983478349326,0.7166029059224588,1.498959834884475
2.583333333333333,0.0392992220983587,0.039414844223194086,0.03923052533443343,0.00023906801298605895,0.00023630246056195658,0.00022952383499369623,0.686967639252703,1.8431888876065812
2.6666666666666665,0.03927761271251952,0.039492832041045096,0.039261928013275965,0.00023978145586775232,0.00023743921577165544,0.00023125520194872042,0.15684699243553868,2.3090402776913126
2.75,0.039299925624159744,0.03955755256346293,0.039292049131746706,0.00023958140599136064,0.00023909640357319865,0.00023286387096308918,0.07876492413037839,2.6550343171622552
2.833333333333333,0.03940906405162569,0.03954857108828324,0.03932094099102018,0.00024356528690716976,0.00023907773239194332,0.00023435901028826098,0.8812306060550917,2.2763009726305823
2.9166666666666665,0.03942700970208597,0.03963340675875154,0.03934865375783158,0.00024379943071267587,0.00024019882845915082,0.00023574908132862786,0.7835594425439213,2.8475300091995726
3.0,0.0394330153733416,0.039720588556715765,0.0393752355515844,0.00024796022274965886,0.0002419005125057668,0.0002370418940884114,0.5777982175720481,3.4535300513136717
3.083333333333333,0.039412455225454925,0.0397709336845389,0.039400732527903146,0.00024810769754315335,0.00024497917277660453,0.00023824465822891596,0.1172269755177896,3.7020115663575353
3.1666666666666665,0.0394595398133474,0.039833372454288495,0.03942518895877625,0.0002479594420714724,0.0002456327372636397,0.00023936403008533377,0.3435085457114545,4.081834955122418
3.25,0.03947528555325836,0.039798329491193905,0.03944864730942826,0.00025235406425901005,0.0002450030576622608,0.00024040615596444983,0.2663824383010438,3.4968218176564814
3.333333333333333,0.039568871036741816,0.03980485987457763,0.039471148312054824,0.00025483714228972807,0.00024312483993208683,0.0002413767120189707,0.9772272468699245,3.3371156252280656
3.4166666666666665,0.03954915184870797,0.039773300292437114,0.03949273103654862,0.00025530615320838214,0.0002454056565193929,0.0002422809409706241,0.5642081215934819,2.805692558884923
3.5,0.0395377779738342,0.03989453584390342,0.03951343295833876,0.00025560999248758486,0.0002465017348188387,0.00024312368593247844,0.2434501549544027,3.811028855646645
3.583333333333333,0.039508244109079035,0.039878145109708774,0.03953329002346175,0.0002568262951348069,0.000247041839534003,0.00024390942156097043,-0.25045914382716694,3.448550862470215
3.6666666666666665,0.03945682233855375,0.03989807339749958,0.039552336710976854,0.00025638346501799373,0.0002472882633452147,0.00024464228274975915,-0.9551437242310418,3.457366865227268
3.75,0.03945360378349826,0.039932642376333434,0.0395706060928342,0.0002571490209160043,0.00024983693818879426,0.0002453260910606188,-1.170023093359368,3.620362834992341
3.833333333333333,0.039593734967620774,0.03987855174870245,0.039588129891299666,0.000256923816626868,0.0002506558770737837,0.00024596437907103215,0.0560507632110796,2.904218574027867
3.9166666666666665,0.03959219159968298,0.03986910027524755,0.039604938534036245,0.00025725619636363583,0.00024961472998071314,0.0002465604128038301,-0.12746934353262407,2.6416174121130647
4.0,0.039658484739497575,0.0397329694021447,0.03962106120693749,0.00025991725732334083,0.0002491107789026171,0.0002471172123910561,0.37423532560088013,1.1190819520721234
4.083333333333333,0.03963022990350584,0.039666072784407536,0.03963652590480477,0.0002593727839931056,0.00024852455440837925,0.0002476375711121111,-0.06296001298929099,0.29546879602763976
4.166666666666666,0.03965508760465369,0.03967373685364428,0.039651359479956454,0.00026044318120318745,0.00024719134889346003,0.0002481240729350848,0.037281246972331594,0.22377373687827717
4.25,0.0396598082952182,0.03975757361746035,0.039665587688853185,0.0002625028131138227,0.00024973904166819745,0.0002485791086799155,-0.05779393634983143,0.9198592860716615
4.333333333333333,0.03967049556962798,0.039700117425083545,0.03967923523682047,0.00026273775505329016,0.00025080358817113085,0.0002490048909125772,-0.08739667192496359,0.20882188263071644
4.416666666666666,0.03967490953083466,0.039650442583182816,0.03969232582094609,0.0002605649002609273,0.0002520988984106665,0.000249403467670801,-0.17416290111427202,-0.4188323776327385
4.5,0.039687620417104205,0.039690712763105054,0.03970488217122678,0.0002602448935843429,0.00025132266167843205,0.0002497767351138434,-0.1726175412257447,-0.1416940812172529
4.583333333333333,0.03974546242298636,0.03974310704289855,0.03971692609003579,0.0002613287287616076,0.00025326265761306825,0.0002501264491814512,0.28536332950572507,0.26180952862761564
4.666666666666666,0.039699230499916124,0.03969102539219874,0.039728478489979666,0.0002604553806111813,0.00025358802984743953,0.00025045423634040254,-0.29247990063541174,-0.3745309778092898
4.75,0.039635496929747216,0.03970834605513855,0.039739559430210146,0.00025693821503480605,0.0002529212758876218,0.0002507616034907708,-1.0406250046293004,-0.31213375071593996
4.833333333333333,0.03957399651362429,0.039748612025877206,0.03975018815125407,0.00025724447698687736,0.0002546786143700463,0.0002510499470983209,-1.7619163762978145,-0.01576125376864801
4.916666666666666,0.03957435020445372,0.03975207288409757,0.03976038310842196,0.00025556049423442254,0.0002535558575341474,0.0002513205616141722,-1.8603290396824317,-0.08310224324389881
5.0,0.03960052223420252,0.0397696434290389,0.03977016200385308,0.000258929035455785,0.00025517681971989756,0.00025157464723800084,-1.696397696505647,-0.005185748141803281
